n_rep_periods,period_length,clustering_type,weight_type,niters,evaluation_type
1,8760,k_means,dirac,1000,none
10,24,k_means,dirac,1000,storage_regret
10,24,k_means,convex,1000,storage_regret
10,24,k_means,conical_bounded,1000,storage_regret
10,24,k_means,conical,1000,storage_regret
10,24,k_medoids,dirac,1000,storage_regret
10,24,k_medoids,convex,1000,storage_regret
10,24,k_medoids,conical_bounded,1000,storage_regret
10,24,k_medoids,conical,1000,storage_regret
10,24,hull,dirac,1000,storage_regret
10,24,hull,convex,1000,storage_regret
10,24,hull,conical_bounded,1000,storage_regret
10,24,hull,conical,1000,storage_regret
20,24,k_means,dirac,1000,storage_regret
20,24,k_means,convex,1000,storage_regret
20,24,k_means,conical_bounded,1000,storage_regret
20,24,k_means,conical,1000,storage_regret
20,24,k_medoids,dirac,1000,storage_regret
20,24,k_medoids,convex,1000,storage_regret
20,24,k_medoids,conical_bounded,1000,storage_regret
20,24,k_medoids,conical,1000,storage_regret
20,24,hull,dirac,1000,storage_regret
20,24,hull,convex,1000,storage_regret
20,24,hull,conical_bounded,1000,storage_regret
20,24,hull,conical,1000,storage_regret
40,24,k_means,dirac,1000,storage_regret
40,24,k_means,convex,1000,storage_regret
40,24,k_means,conical_bounded,1000,storage_regret
40,24,k_means,conical,1000,storage_regret
40,24,k_medoids,dirac,1000,storage_regret
40,24,k_medoids,convex,1000,storage_regret
40,24,k_medoids,conical_bounded,1000,storage_regret
40,24,k_medoids,conical,1000,storage_regret
40,24,hull,dirac,1000,storage_regret
40,24,hull,convex,1000,storage_regret
40,24,hull,conical_bounded,1000,storage_regret
40,24,hull,conical,1000,storage_regret
80,24,k_means,dirac,1000,storage_regret
80,24,k_means,convex,1000,storage_regret
80,24,k_means,conical_bounded,1000,storage_regret
80,24,k_means,conical,1000,storage_regret
80,24,k_medoids,dirac,1000,storage_regret
80,24,k_medoids,convex,1000,storage_regret
80,24,k_medoids,conical_bounded,1000,storage_regret
80,24,k_medoids,conical,1000,storage_regret
80,24,hull,dirac,1000,storage_regret
80,24,hull,convex,1000,storage_regret
80,24,hull,conical_bounded,1000,storage_regret
80,24,hull,conical,1000,storage_regret
