n_rep_periods,period_length,clustering_type,weight_type,tol,evaluation_type,normalization,inflow_integral_weight,fix_every,chain_weight_type
20,24,hull,conical,0.0001,storage_regret,minmax,1.0,1,signed
20,24,hull,conical,0.0001,storage_regret,minmax,1.0,30,signed
20,24,hull,conical,0.0001,storage_regret,minmax,1.0,1,convex
20,24,hull,conical,0.0001,storage_regret,minmax,1.0,30,convex
10,24,hull,conical,0.0001,storage_regret,unscaled,0.0,1,signed
10,24,hull,conical,0.0001,storage_regret,unscaled,0.0,30,signed
10,24,hull,conical,0.0001,storage_regret,unscaled,0.0,1,convex
10,24,hull,conical,0.0001,storage_regret,unscaled,0.0,30,convex
10,24,hull,conical,0.0001,storage_regret,economic,0.0,1,signed
10,24,hull,conical,0.0001,storage_regret,economic,0.0,30,signed
10,24,hull,conical,0.0001,storage_regret,economic,0.0,1,convex
10,24,hull,conical,0.0001,storage_regret,economic,0.0,30,convex
10,24,hull,convex,0.0001,storage_regret,minmax,0.0,1,signed
10,24,hull,convex,0.0001,storage_regret,minmax,0.0,30,signed
10,24,hull,convex,0.0001,storage_regret,minmax,0.0,1,convex
10,24,hull,convex,0.0001,storage_regret,minmax,0.0,30,convex
10,24,hull,convex,0.0001,storage_regret,unscaled,10.0,1,signed
10,24,hull,convex,0.0001,storage_regret,unscaled,10.0,30,signed
10,24,hull,convex,0.0001,storage_regret,unscaled,10.0,1,convex
10,24,hull,convex,0.0001,storage_regret,unscaled,10.0,30,convex
